VAR,Variable,COU,Country,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),AUS,Australia,2010,2010,PC,Percentage,0,Units,,,93.18,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),AUS,Australia,2011,2011,PC,Percentage,0,Units,,,93.54,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),AUS,Australia,2012,2012,PC,Percentage,0,Units,,,94.1,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),AUS,Australia,2013,2013,PC,Percentage,0,Units,,,94.08,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),AUS,Australia,2014,2014,PC,Percentage,0,Units,,,92.57,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),AUS,Australia,2015,2015,PC,Percentage,0,Units,,,92.38,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),AUS,Australia,2016,2016,PC,Percentage,0,Units,,,92.48,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),AUS,Australia,2017,2017,PC,Percentage,0,Units,,,92.69,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),AUT,Austria,1990,1990,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),AUT,Austria,2000,2000,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),AUT,Austria,2010,2010,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),AUT,Austria,2012,2012,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),AUT,Austria,2014,2014,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),AUT,Austria,2016,2016,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),BEL,Belgium,2000,2000,PC,Percentage,0,Units,,,65,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),BEL,Belgium,2005,2005,PC,Percentage,0,Units,,,74,,
